대분류,소분류,2018년 전시회 관람 빈도,2018년 박물관 관람 빈도,2018년 음악 및 무용발표회 관람 빈도,2018년 전통예술공연 관람 빈도,2018년 연극공연 관람 빈도,2018년 영화관람 빈도,2018년 대중공연 관람 빈도,2018년 운동경기 관람 빈도,2019년 전시회 관람 빈도,2019년 박물관 관람 빈도,2019년 음악 및 무용발표회 관람 빈도,2019년 전통예술공연 관람 빈도,2019년 연극공연 관람 빈도,2019년 영화관람 빈도,2019년 대중공연 관람 빈도,2019년 년 운동경기 관람 빈도,2020년 전시회 관람 빈도,2020년 박물관 관람 빈도,2020년 음악 및 무용발표회 관람 빈도,2020년 전통예술공연 관람 빈도,2020년 연극공연 관람 빈도,2020년 영화관람 빈도,2020년 대중공연 관람 빈도,2020년 운동경기 관람 빈도,2021년 전시회 관람 빈도,2021년 박물관 관람 빈도,2021년 음악 및 무용발표회 관람 빈도,2021년 전통예술공연 관람 빈도,2021년 연극공연 관람 빈도,2021년 영화관람 빈도,2021년 대중공연 관람 빈도,2021년 운동경기 관람 빈도,2022년 전시회 관람 빈도,2022년 박물관 관람 빈도,2022년 음악 및 무용발표회 관람 빈도,2022년 전통예술공연 관람 빈도,2022년 연극공연 관람 빈도,2022년 영화관람 빈도,2022년 대중공연 관람 빈도,2022년 운동경기 관람 빈도,2023년 전시회 관람 빈도,2023년 박물관 관람 빈도,2023년 음악 및 무용발표회 관람 빈도,2023년 전통예술공연 관람 빈도,2023년 연극공연 관람 빈도,2023년 영화관람 빈도,2023년 대중공연 관람 빈도,2023년 운동경기 관람 빈도
전체,전체,0.3,0.3,0.1,0.1,0.3,2.8,0.1,0.3,0.26,0.3,0.1,0.09,0.39,2.99,0.16,0.35,0.32,0.29,0.13,0.1,0.38,2.5,0.16,0.3,0.23,0.16,0.09,0.05,0.19,1.43,0.07,0.12,0.09,0.11,0.04,0.03,0.15,1.56,0.07,0.17,0.12,0.16,0.05,0.04,0.2,1.55,0.12,0.17
성별,남성,0.2,0.3,0.1,0.1,0.3,2.7,0.1,0.4,0.22,0.28,0.08,0.08,0.35,2.94,0.14,0.49,0.31,0.3,0.12,0.1,0.35,2.52,0.15,0.46,0.18,0.16,0.07,0.05,0.15,1.46,0.07,0.16,0.09,0.11,0.04,0.02,0.13,1.51,0.06,0.28,0.1,0.14,0.05,0.04,0.18,1.47,0.09,0.24
성별,여성,0.3,0.4,0.1,0.1,0.4,3,0.1,0.2,0.3,0.31,0.12,0.09,0.44,3.04,0.17,0.21,0.34,0.27,0.13,0.09,0.42,2.48,0.17,0.16,0.26,0.16,0.1,0.04,0.23,1.4,0.08,0.07,0.1,0.11,0.04,0.03,0.18,1.61,0.09,0.07,0.13,0.18,0.06,0.05,0.22,1.63,0.14,0.1
연령대,10대,0.4,0.6,0.1,0,0.3,3.5,0.1,0.3,0.46,0.52,0.09,0.05,0.4,3.74,0.2,0.37,0.24,0.28,0.04,0.06,0.26,2.68,0.07,0.16,0.19,0.15,0.12,0.06,0.16,1.48,0.1,0.18,0.11,0.14,0.01,0,0.08,1.82,0.05,0.11,0.12,0.18,0.07,0.05,0.24,1.77,0.14,0.17
연령대,20대,0.4,0.3,0.1,0,0.6,4.9,0.2,0.6,0.36,0.28,0.15,0.05,0.64,4.83,0.18,0.55,0.46,0.25,0.15,0.07,0.71,3.87,0.27,0.33,0.37,0.16,0.11,0.05,0.34,2.17,0.09,0.15,0.16,0.12,0.05,0.02,0.32,2.69,0.12,0.29,0.21,0.11,0.08,0.02,0.36,2.41,0.19,0.22
연령대,30대,0.3,0.5,0.1,0,0.6,3.6,0.1,0.4,0.38,0.43,0.12,0.06,0.63,4,0.21,0.48,0.53,0.44,0.21,0.12,0.63,3.42,0.26,0.48,0.34,0.22,0.11,0.05,0.3,2,0.11,0.19,0.13,0.15,0.04,0.02,0.23,2.24,0.09,0.2,0.18,0.2,0.05,0.02,0.31,2.29,0.13,0.24
연령대,40대,0.3,0.4,0.1,0.1,0.3,2.9,0.1,0.3,0.27,0.43,0.12,0.07,0.41,3.16,0.16,0.4,0.37,0.43,0.18,0.13,0.39,2.91,0.19,0.41,0.26,0.26,0.11,0.06,0.19,1.76,0.07,0.15,0.11,0.15,0.07,0.03,0.17,1.8,0.06,0.34,0.12,0.22,0.07,0.04,0.23,1.81,0.11,0.22
연령대,50대,0.2,0.2,0.1,0.1,0.2,2.1,0.1,0.2,0.18,0.19,0.1,0.09,0.28,2.29,0.14,0.27,0.26,0.24,0.11,0.07,0.26,2.23,0.12,0.32,0.17,0.12,0.07,0.03,0.14,1.16,0.06,0.08,0.07,0.09,0.05,0.03,0.11,1.18,0.07,0.1,0.08,0.15,0.05,0.03,0.14,1.33,0.12,0.17
연령대,60대 이상,0.1,0.2,0,0.1,0.1,0.9,0,0.1,0.11,0.16,0.04,0.15,0.13,1.25,0.09,0.12,0.12,0.13,0.05,0.09,0.1,0.83,0.06,0.11,0.08,0.08,0.04,0.04,0.06,0.53,0.05,0.04,0.03,0.05,0.02,0.03,0.04,0.5,0.04,0.03,0.05,0.14,0.03,0.07,0.07,0.6,0.08,0.06
지역구,종로구,0.2,0.1,0,0,0.2,1.9,0.1,0.2,0.26,0.18,0.1,0.08,0.33,2.37,0.15,0.13,0.44,0.34,0.18,0.1,0.32,2.58,0.1,0.21,0.37,0.17,0.07,0.02,0.27,1.23,0.04,0.09,0.23,0.19,0.11,0.08,0.34,2.38,0.17,0.76,0.09,0.11,0.08,0.02,0.3,2.6,0.02,0.02
지역구,중구,0.2,0.2,0.1,0,0.3,2,0,0.2,0.17,0.24,0.06,0.08,0.26,2.66,0.07,0.16,0.25,0.19,0.08,0.08,0.31,2.16,0.09,0.22,0.15,0.16,0.1,0.05,0.17,0.87,0.09,0.06,0.06,0.02,0.01,0.06,0.16,1.45,0.03,0.04,0.11,0.17,0.06,0.01,0.1,1.4,0.03,0.13
지역구,용산구,0.2,0.2,0.1,0,0.3,2.7,0.1,0.4,0.46,0.46,0.04,0.06,0.27,2.58,0.09,0.18,0.54,0.53,0.24,0.19,0.44,2.54,0.27,0.48,0.26,0.25,0.11,0.04,0.18,1.25,0.09,0.13,0.21,0.13,0.03,0,0.2,2.53,0.03,0.05,0.17,0.19,0.02,0.04,0.11,1.37,0.07,0.25
지역구,성동구,0.2,0.2,0,0.1,0.4,2.5,0.1,0.3,0.15,0.16,0.06,0.05,0.34,2.67,0.08,0.09,0.28,0.22,0.09,0.07,0.42,2.33,0.15,0.31,0.2,0.14,0.07,0.02,0.21,1.68,0.04,0.12,0.05,0.08,0.14,0.01,0.33,2.3,0.1,0.21,0.05,0.13,0.11,0.1,0.36,2.21,0.07,0.19
지역구,광진구,0.2,0.2,0.1,0.1,0.7,4.4,0.1,0.5,0.35,0.37,0.1,0.14,0.38,3.5,0.19,0.34,0.31,0.31,0.1,0.06,0.39,2.7,0.21,0.36,0.23,0.12,0.09,0.03,0.29,1.73,0.07,0.13,0.06,0.07,0.08,0.08,0.29,1.82,0.05,0.16,0.25,0.14,0.05,0.02,0.19,1.68,0.1,0.2
